Товар
Мандарины мини
Шейка свиная без кости Перекрёсток
"Корм Felix Аппетитные кусочки кролик в желе консервированный для взрослых кошек, 75г"
"Корм Felix Аппетитные кусочки с курицей в желе для взрослых кошек, 75г"
Яблоки сезонные
"Корм Felix Двойная Вкуснятина лосось и форель в желе консервированный для взрослых кошек, 75г"
"Сырок творожный Ростагроэкспорт с варёной сгущёнкой глазированный 15%, 45г"
"Корм Felix Аппетитные кусочки говядина в желе консервированный для взрослых кошек, 75г"
Картофель красный мытый
"Молоко Parmalat безлактозное ультрапастеризованное 3.5%, 1л"
"Вода Псыж минеральная питьевая лечебно-столовая газированная, 1л"
Яблоки Гала Маркет
"Корм Felix Аппетитные кусочки с ягнёнком в желе консервированный для взрослых кошек, 75г"
Перец красный сладкий
"Сырок творожный Ростагроэкспорт с ароматом ванили глазированный 20%, 45г"
"Салат Айсберг Маркет Fresh, 1шт"
"Напиток безалкогольный  Добрый Кола без сахара сильногазированный, 1.5л"
"Творог Простоквашино Нежный мягкий 5%, 170г"
"Напиток сильногазированный Добрый Cola, 1.5л"
"Сметана Брест-Литовск 20%, 180г"
"Корм Felix Sensations в соусе с индейкой со вкусом бекона для взрослых кошек, 75г"
"Сырок творожный Свитлогорье с ванилином глазированный 26%, 50г"
"Кукуруза 6 соток сладкая, 340г"
"Молоко детское ультрапастеризованное 3.2% Сарафаново, 970мл"
"Сметана 20% Зелёная Линия, 300г"
Томаты розовые Азербайджан
"Сырок А.Ростагрокомплекс творожный глазированный в молочном шоколаде со сгущенкой 26%, 50г"
Груши Конференс
"Томаты черри на ветке, 250г"
"Влажный корм Felix для кошек с курицей, 48г"
"Карамель Chupa Chups Авокадо микс Ассорти, 12г"
"Продукт творожный Даниссимо Браво шоколад 6.7%, 130г"
"Корм Felix Аппетитные кусочки с индейкой и печенью в желе для взрослых кошек, 75г"
"Майонез Mr. Ricco на перепелином яйце 67%, 400г"
"Печенье Воздушные колечки заварное Зелёная Линия, 100г"
"Сок J7 Fresh Taste Апельсин с мякотью, 850мл"
"Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л"
"Сырок А.Ростагрокомплекс творожный глазированный в молочном шоколаде с ванилью 26%, 50г"
"Укроп зеленый Маркет Fresh, 100г"
"Вода Святой источник Спортик артезианская йод-калиевая высшей категории негазированная, 330мл"
"Кукуруза Globus сладкая, 340г"
"Сырок творожный Свитлогорье с какао глазированный 26%, 50г"
Ананас медовый
Киви
"Горошек Globus зелёный, 400г"
"Чебурек с мясом замороженный Маркет, 180г"
Грейпфрут красный
Окорочка куриные Перекрёсток
